,POSITION,LOC_X,LOC_Y,PLAYER_NAME,QUARTER,EVENT_TYPE
5653,SG,881.0,244.0,Jimmy Butler,1,BLOCKED
5654,C,706.0,252.0,Robin Lopez,1,MISSED
5656,PG,794.0,290.0,Rajon Rondo,1,MISSED
5659,SG,720.0,336.0,Jimmy Butler,1,SCORED
5661,PG,733.0,419.0,Rajon Rondo,1,MISSED
5665,PG,861.0,290.0,Rajon Rondo,2,MISSED
5666,PG,895.0,270.0,Rajon Rondo,2,SCORED
5667,PG,853.0,208.0,Rajon Rondo,2,MISSED
5668,SG,714.0,266.0,Dwyane Wade,2,SCORED
5672,SG,882.0,218.0,Jimmy Butler,2,MISSED
5674,SG,743.0,164.0,Jimmy Butler,2,MISSED
5683,C,67.0,274.0,Robin Lopez,3,SCORED
5684,SG,216.0,364.0,Dwyane Wade,3,MISSED
5686,C,54.0,305.0,Robin Lopez,3,SCORED
